ra,dec
181.092209,-1.36757
183.313614,-6.13008
193.347931,-2.53876
192.498428,-2.25563
190.929108,0.503145
185.901184,-7.6816
180.535324,-3.06334
187.527405,0.814993
181.362015,0.295697
190.534393,0.91556
180.496643,-0.427477
190.083939,1.27333
190.790237,0.50947
192.761169,-2.56334
183.864563,-6.89935
186.891113,-2.94347
190.719772,-4.24455
192.443115,-1.18768
186.111282,-2.96113
191.608276,0.674089
191.49855,-7.07932
190.23912,0.987234
188.939682,-3.29102
188.700653,2.31167
185.618973,1.05709
189.517929,-9.97549
184.412277,-4.34121
190.633026,-2.25619
185.432999,2.56707
186.941116,-2.26979
191.126907,-7.0709
187.183624,-4.39329
187.998306,2.48391
191.33255,1.49244
191.102356,1.7657
182.290665,-1.32348
182.861801,-3.15065
185.847687,1.70695
188.744461,2.00203
191.486069,-8.88343
189.676849,-3.62189
189.372025,-5.34305
180.970245,-0.189358
190.570786,-2.7707
183.71933,-4.29893
184.944321,-1.19992
191.459305,-8.29864
186.192291,-7.69595
186.073196,-7.89799
190.214081,-4.11945
189.02829,-3.53068
189.601196,-5.14388
187.533508,1.03379
184.359238,2.62597
183.742844,-8.15985
183.626434,-2.92317
180.336609,-6.47365
181.454254,-0.315104
190.408401,-1.50335
183.07048,-3.43327
190.390182,-4.85651
193.755966,-2.65924
190.217987,-3.3698
189.795624,-9.62615
188.802109,-4.6481
186.93576,-1.86117
183.159836,-7.41096
188.648575,1.91961
184.55098,-6.77223
193.434433,-1.41771
192.022385,-1.66163
188.631454,-11.2209
184.972504,-4.14034
191.340546,1.57438
186.10498,-3.85155
191.822174,-1.97925
186.033188,2.86425
183.516281,-9.65012
186.826614,-3.34786
181.508713,0.620217
187.638809,1.47098
183.528076,-0.938838
191.116608,0.533028
181.9561,-5.05908
187.677216,-3.22715
187.6297,-6.14337
187.876724,2.74994
185.920563,-10.2891
184.867279,3.06759
187.28186,-1.75297
183.449234,-1.72692
184.937195,-2.75896
184.555847,1.79763
188.055054,-2.25083
184.40657,2.02986
192.918884,-8.08696
181.337738,-5.38143
184.712601,-0.0847675
180.859131,-3.78018
190.311539,-4.75242
187.80275,-3.46888
186.002396,-3.20423
186.19368,-7.9766
186.73497,-1.2001
189.868011,-10.4066
180.814026,-0.188696
182.689499,0.156794
183.356827,-0.145646
192.850189,-3.09222
182.774063,-5.59277
184.242035,-7.14022
181.029541,-5.04776
186.984451,-1.70709
186.87326,-2.15777
190.656265,0.634495
187.87262,-2.31086
186.117447,-10.3991
193.440781,-1.77277
193.501602,-3.15151
187.648056,-3.46646
192.549896,-2.59102
190.276917,-1.86243
190.787216,-1.72473
184.341415,1.57773
190.436035,-4.26511
190.23584,-5.43623
186.722961,-9.70393
184.191101,-6.58067
189.950546,-1.77105
186.988556,1.28994
187.532257,2.83617
193.71106,-2.56803
191.426819,-8.39686
184.123596,-9.44721
189.968353,2.12622
183.897858,3.33843
187.278763,1.15401
180.864044,-5.11024
182.278687,-9.66327
190.969971,-2.37602
185.421616,-10.4054
184.022476,-2.80897
181.290024,-0.747594
184.526367,-3.30144
186.935562,-6.60702
185.147125,-2.07228
190.768082,1.87426
181.315445,0.00685205
180.20752,-6.32809
185.29451,-8.83459
191.057022,0.701545
190.49556,-2.23641
187.006897,1.60824
182.404617,-1.10059
180.543991,-0.588888
183.269592,-3.03993
185.930481,1.31113
190.455292,-1.48342
185.295197,-7.00663
189.162384,-4.85892
187.839172,-4.58173
189.191452,-10.7912
187.59761,-5.9867
180.543182,-2.95973
180.768494,-0.124304
186.220352,-6.06405
189.955338,-9.47853
182.736084,-5.21784
187.084839,2.15389
193.664551,-2.51727
181.797104,0.43263
187.314651,-7.55647
193.347366,-2.42024
189.864716,-4.69311
182.208664,-2.62902
192.184509,-1.79747
189.537933,-9.18242
191.317886,1.79451
185.797623,-3.49112
192.568802,-1.61739
180.100754,-5.37206
180.611618,-1.26322
192.559265,-8.59295
189.983047,1.80779
193.584061,-1.0756
190.926056,0.561833
183.246597,-3.75004
