ra,dec
 206.2353973, -16.7223854
 208.2315979, -16.7160568
 200.8541718, -16.712265
 201.7250366, -16.7111053
 200.5793152, -16.7083321
 204.3887787, -16.7068024
 206.2551117, -16.7065506
 204.4248199, -16.7048969
 203.7625427, -16.6998558
 206.8641663, -16.6950111
 202.9875946, -16.6925488
 200.8697357, -16.6842346
 200.7813416, -16.6835842
 206.8844757, -16.6831741
 199.8822784, -16.6828098
 203.8703918, -16.6741524
 200.7585754, -16.6739979
 203.2860107, -16.6692944
 202.8849792, -16.6641312
 206.6386871, -16.6632462
 203.3147888, -16.6624546
 200.0018005, -16.6612911
 201.1565857, -16.6594467
 201.1813049, -16.6563816
 203.3086548, -16.6550903
 206.799942, -16.6513119
 200.7841949, -16.6463757
 206.9741821, -16.6456375
 207.5034332, -16.6447906
 208.0812683, -16.6447735
 200.9143982, -16.6442757
 203.661377, -16.6436958
 207.2186279, -16.6431332
 204.4788971, -16.6390991
 206.2442169, -16.6334629
 204.3969421, -16.6317081
 199.8821411, -16.6220989
 200.8900146, -16.6194649
 199.9347839, -16.6148033
 206.4391327, -16.6139774
 200.8603973, -16.6112194
 206.5625916, -16.606636
 200.6941681, -16.605875
 200.7107849, -16.6029148
 200.8111115, -16.6010075
 201.79953, -16.5995293
 200.8149109, -16.5900879
 199.8858948, -16.5877056
 204.6082306, -16.5837631
 201.6255188, -16.5791645
 202.0632019, -16.5766296
 203.9915924, -16.5710773
 201.6495972, -16.5708752
 201.5942688, -16.5656338
 201.5762177, -16.5629253
 206.5184937, -16.5628986
 206.3842316, -16.5589371
 206.7993164, -16.5568085
 206.618042, -16.5472393
 201.5068207, -16.5387421
 201.3929901, -16.5213966
 202.217926, -16.5078869
 201.5428467, -16.5076218
 201.8046722, -16.5058727
 203.7754059, -16.5022812
 203.2164001, -16.4993572
 201.5427246, -16.49823
 203.0853424, -16.4978733
 206.9934845, -16.4826393
 206.4743347, -16.4806404
 200.8609467, -16.4715443
 206.5328979, -16.467205
 206.2006378, -16.4652843
 206.2060089, -16.4579906
 204.8182068, -16.4494057
 201.5522766, -16.4463959
 206.8699951, -16.4373779
 201.2845917, -16.4327259
 201.9148254, -16.4236469
 200.4415436, -16.4151306
 202.029007, -16.4102497
 206.5458984, -16.4049664
 206.7475586, -16.3988266
 206.7436371, -16.3982239
 206.6233978, -16.3878479
 206.9038544, -16.3851109
 206.5866547, -16.3844223
 200.4444733, -16.3820782
 202.2716827, -16.3784752
 203.9432526, -16.3721008
 201.4220581, -16.3683739
 204.4347076, -16.3667336
 200.1815338, -16.3643723
 202.0003815, -16.3561287
 200.4737091, -16.3469925
 207.0507507, -16.3384686
 201.5299835, -16.3382454
 206.56073, -16.3287964
 199.9609528, -16.325676
 204.7902832, -16.3234959
 204.8392487, -16.3174725
 207.9282684, -16.30867
 206.648468, -16.3024082
 200.7320862, -16.2994156
 203.6387177, -16.2843456
 200.4107208, -16.2790318
 202.3811188, -16.2722034
 202.0943756, -16.2670193
 201.1020966, -16.2624626
 207.0246277, -16.2618923
 201.0957184, -16.2513409
 201.0827789, -16.2503433
 203.2575226, -16.2448997
 204.7702484, -16.237915
 206.5139618, -16.2308559
 200.8207092, -16.2250385
 200.4273834, -16.2122746
 201.8599548, -16.2106915
 204.9720917, -16.2059746
 202.1598816, -16.1989555
 204.6890411, -16.1981354
 201.9944458, -16.1912041
 200.0817261, -16.1884155
 206.5772095, -16.1848564
 206.3018188, -16.1821098
 203.1803894, -16.1814861
 201.7913361, -16.1730576
 200.7945099, -16.1730518
 204.0652771, -16.1622696
 200.9242401, -16.1563015
 203.7261505, -16.1424236
 206.6788635, -16.1404476
 201.2047729, -16.1319809
 200.5209808, -16.1314411
 201.1136932, -16.1266823
 206.1127777, -16.1244011
 204.8844604, -16.1239929
 206.7061615, -16.1184654
 200.0995636, -16.1120167
 206.3168335, -16.1086521
 200.3550262, -16.1072865
 204.0472412, -16.1038322
 200.8926697, -16.0997715
 200.4082031, -16.0995827
 201.7249603, -16.0968399
 201.7533569, -16.0927677
 200.5809631, -16.0735874
 200.9594421, -16.0714397
 204.5602875, -16.0515079
 204.8809967, -16.0433559
 200.6507721, -16.0376034
 200.1374969, -16.0262184
 200.5098724, -16.0256405
 200.4336395, -16.0193081
 205.01474, -16.0150871
 201.800415, -16.0131779
 203.9293213, -16.0115643
 201.1022949, -16.0039043
 204.1952667, -16.0026302
 200.6233673, -15.9962759
 204.6983337, -15.9940367
 200.279892, -15.9920254
 203.8773499, -15.9900017
 201.7904663, -15.9860363
 211.2998199, -15.984621
 204.479538, -15.9681053
 210.3502808, -15.958353
 200.4065399, -15.9570541
 210.0223846, -15.9555702
 210.6908875, -15.9509726
 201.7477112, -15.949357
 210.143692, -15.9389277
 204.2458191, -15.9344788
 204.7891083, -15.9300365
 204.7705994, -15.908082
 200.9308472, -15.899375
 211.022995, -15.8959923
 204.8593445, -15.8899317
 202.3893127, -15.8867884
 201.5762939, -15.8866644
 210.8053131, -15.879324
 209.21698, -15.8619146
 204.5471344, -15.8585758
 201.1371918, -15.8575268
 201.5582733, -15.853138
 210.8428497, -15.8466196
 209.0559387, -15.8458452
 201.7767029, -15.8401089
 211.0201111, -15.8369589
 209.7430573, -15.8238478
 209.2173462, -15.8236742
 209.7581635, -15.8225574
 201.4106445, -15.8164158
 201.7593079, -15.8150702
 210.6424713, -15.8150644
 211.2031403, -15.8134041
 211.2321777, -15.8074617
 209.3451996, -15.8033857
 200.6528931, -15.8033218
 200.1395416, -15.8018351
 210.8826141, -15.7977982
 211.2061462, -15.7946081
 200.2305908, -15.7893209
 210.6516113, -15.7849932
 209.3531342, -15.770854
 211.2108765, -15.7692728
 202.454895, -15.759553
 209.5703278, -15.752243
 201.5007477, -15.7519445
 201.3966827, -15.751667
 209.9443512, -15.7473574
 201.4319458, -15.7469959
 201.0800476, -15.7460213
 202.4736481, -15.7415352
 210.7762299, -15.7348661
 203.6461182, -15.7306805
 200.2576752, -15.7226496
 202.411972, -15.7223787
 209.3406067, -15.7179546
 200.2870941, -15.7155561
 211.2112579, -15.7146473
 209.5369873, -15.7082825
 209.5297089, -15.6972189
 209.9444427, -15.6957932
 209.605545, -15.6950521
 209.9218597, -15.6833019
 209.1477966, -15.6809139
 211.269989, -15.6793556
 200.9764709, -15.6784143
 209.9149628, -15.6603785
 209.8976898, -15.6574535
 201.383667, -15.6513491
 202.0278625, -15.6471281
 209.3910522, -15.6117468
 200.0722656, -15.6030769
 200.0695038, -15.6013403
 210.594635, -15.5913019
 209.7920685, -15.5877924
 210.0200195, -15.5856314
 201.2621613, -15.5828476
 202.3404388, -15.5713377
 210.7492065, -15.5712433
 202.0399933, -15.5620098
 210.8788605, -15.5606117
 200.5078735, -15.5490847
 201.0050812, -15.548646
 201.8612061, -15.5368452
 210.9705505, -15.5331287
 202.0156555, -15.5306406
 211.446228, -15.5184708
 210.0996552, -15.5136061
 209.8497772, -15.5001316
 201.8501282, -15.4992228
 210.60495, -15.4978199
 201.2298431, -15.4665508
 209.713028, -15.4598026
 210.0539551, -15.4460897
