ra,dec
348.13899,-6.16642
348.13884,-6.16651
348.13869,-6.16660
348.13854,-6.16669
348.13839,-6.16678
348.13823,-6.16686
348.13808,-6.16695
348.13792,-6.16704
348.13777,-6.16713
348.13761,-6.16722
348.13746,-6.16731
348.13730,-6.16741
348.13714,-6.16750
348.13698,-6.16759
348.13682,-6.16768
348.13666,-6.16777
348.13650,-6.16786
348.13633,-6.16796
348.13617,-6.16805
348.13601,-6.16814
348.13584,-6.16824
348.13568,-6.16833
348.13551,-6.16843
348.13534,-6.16852
348.13517,-6.16862
348.13500,-6.16871
348.13483,-6.16881
348.13466,-6.16890
348.13449,-6.16900
348.13432,-6.16910
348.13415,-6.16920
348.13397,-6.16929
348.13380,-6.16939
348.13362,-6.16949
348.13345,-6.16959
348.13327,-6.16969
348.13309,-6.16978
348.13291,-6.16988
348.13273,-6.16998
348.13255,-6.17008
348.13237,-6.17018
348.13219,-6.17029
348.13201,-6.17039
348.13183,-6.17049
348.13164,-6.17059
348.13146,-6.17069
348.13127,-6.17079
348.13108,-6.17090
348.13090,-6.17100
348.13071,-6.17110
348.13052,-6.17121
348.13033,-6.17131
348.13014,-6.17141
348.12995,-6.17152
348.12975,-6.17162
348.12956,-6.17173
348.12937,-6.17184
348.12917,-6.17194
348.12898,-6.17205
348.12878,-6.17215
348.12858,-6.17226
348.12839,-6.17237
348.12819,-6.17248
348.12799,-6.17258
348.12779,-6.17269
348.12759,-6.17280
348.12739,-6.17291
348.12718,-6.17302
348.12698,-6.17313
348.12678,-6.17324
348.12657,-6.17335
348.12637,-6.17346
348.12616,-6.17357
348.12595,-6.17368
348.12574,-6.17379
348.12553,-6.17390
348.12532,-6.17402
348.12511,-6.17413
348.12490,-6.17424
348.12469,-6.17435
348.12448,-6.17447
348.12426,-6.17458
348.12405,-6.17470
348.12383,-6.17481
348.12362,-6.17492
348.12340,-6.17504
348.12318,-6.17515
348.12296,-6.17527
348.12275,-6.17539
348.12253,-6.17550
348.12230,-6.17562
348.12208,-6.17574
348.12186,-6.17585
348.12164,-6.17597
348.12141,-6.17609
348.12119,-6.17621
348.12096,-6.17633
348.12074,-6.17644
348.12051,-6.17656
348.12028,-6.17668
348.12005,-6.17680
348.11982,-6.17692
348.11959,-6.17704
348.11936,-6.17716
348.11913,-6.17729
348.11890,-6.17741
348.11866,-6.17753
