RA_d,DEC_d
57.2905941,24.05341675
57.09846,24.37647
53.879812,23.852873
58.108,21.84219
55.21358,23.59844
56.799104,24.225412
56.81371,25.11542
55.93133,24.21397
57.055448,23.979752
55.79058,24.6925
57.62204,24.94303
58.46854,22.62617
56.78929,23.74219
56.338283,23.7275
56.89375,24.03975
55.53683,23.58811
55.773034,24.824606
57.07335,22.067031
58.135708,24.743511
58.07308,24.45547
57.10513,24.24061
57.986929,23.901967
57.414142,23.290117
56.80692,23.83153
56.224304,23.921267
57.925375,21.668342
56.615737,23.5927
57.214775,24.204831
55.49888,26.46111
57.56146,25.42506
54.81971,24.96072
58.14358,22.50217
56.67992,23.62283
57.714342,23.329203
56.89233,25.71839
56.73042,23.38044
57.40929,26.85167
55.81555,25.341558
55.9525,23.53939
56.45392,23.85289
57.33617,24.87653
54.381517,22.994669
59.45567,22.14206
55.86238,24.45275
55.685239,23.971001
59.40029,23.93125
59.64238,22.66986
56.10663,24.68136
57.8397567,25.6353911
55.35979,23.13417
57.391484,22.276731
56.881819,23.872055
56.850477,22.886528
55.194842,24.2155
55.57454,24.11606
56.70504,24.60003
57.48117,24.10144
56.96367,23.73669
56.093542,23.650361
59.249583,24.093194
56.25504,25.35164
57.36975,23.71225
56.822487,24.509469
57.42375,21.93875
56.37496,26.43656
57.6811675,26.0412975
57.493054,23.709433
56.39996,24.50022
55.906942,25.331703
56.068531,23.617867
59.387725,23.946518
56.36761,24.523643
56.23617,23.60661
56.72513,25.24583
58.28967,26.00183
55.67667,23.33942
55.51375,24.53706
57.97933,23.96175
57.827976,26.054382
58.2554,22.452558
56.061058,24.1019
57.12539757,24.34552424
57.38662,25.79644
55.92305703,23.64914727
57.12937,24.28153
59.275865,23.216953
56.647271,23.952118
55.288858,23.767061
58.98504,25.30008
58.05075,26.36919
56.6570775,23.7877397
56.511483,23.737392
56.93604,23.70094
57.06842,22.54458
58.69383,25.52644
57.08971,24.57883
57.11075,23.19164
58.21708,25.174
56.53125,24.37439
56.66408,24.02969
55.627307,25.044434
57.01646,22.877
57.124,23.96836
57.48237,24.74214
55.947958,24.958194
57.04238,23.98903
56.788266,24.052191
58.159179,21.704053
55.73567,24.22939
55.575016,24.919477
56.45392,23.85289
58.044617,22.613236
56.77825,23.715169
55.316617,22.880561
55.9525,23.53939
55.863021,25.387578
57.454067,21.439525
58.94317,23.3545
56.53488,23.3475
55.72496,26.13789
57.98796,24.95183
58.15688,24.74864
56.47908,24.22394
59.0532767,25.7620767
56.34788,24.85081
56.71428,24.104555
56.558546,23.365736
56.36242,24.22411
57.44596,25.71031
54.370312,23.962461
56.3140013,25.2894672
56.34246,23.47172
57.55246,23.81364
57.691804,22.930731
57.38567,23.41147
56.84567,24.84897
56.92158,23.74033
55.68483,23.10456
54.897739,24.118422
55.41492,23.76311
56.73042,23.38044
56.46033,23.87394
54.21887,23.26258
57.1085,25.24475
54.48504,23.38247
56.300619,23.36479
56.469774,23.465094
54.668625,26.096122
56.93604,23.70094
55.494367,22.950556
55.580301,23.531809
56.582292,24.035686
59.043262,23.040045
54.332242,25.640386
56.068531,23.617867
55.49858,24.70517
55.149462,26.151422
56.835084,22.365753
58.47963,23.39344
54.60329,26.25661
55.298018,26.271997
55.9516983,25.1901297
57.31837,24.06367
58.309579,22.165553
55.86971,24.15178
58.49258,24.41919
56.435042,24.220336
56.8502571,24.5884411
57.822012,26.71545
57.55188,23.92675
55.129833,25.148058
55.550617,23.774945
56.81371,25.11542
56.788325,22.508814
54.973042,25.7795
56.85746,25.14253
58.25675,22.98017
56.24171,23.40869
57.587079,24.466756
56.80692,23.83153
57.075346,24.096778
54.255808,24.417864
57.535488,21.664683
56.78058,23.22636
55.75521,24.24792
54.656758,24.669831
57.38567,23.41147
56.81404,23.43506
56.52687,25.41992
58.450192,23.819414
56.523688,24.613878
58.89342,23.97461
56.819025,24.128414
56.642708,23.834333
58.513321,25.914503
57.53588,24.67167
56.836802,25.086767
56.615737,23.5927
56.431008,26.084764
58.57846,25.49531
57.986929,23.901967
58.170933,25.804503
57.99308,23.97211
56.224304,23.921267
57.925375,21.668342
57.636775,24.560578
57.414142,23.290117
57.77321,24.73681
56.60575,24.16014
57.04242,23.00114
58.73221,25.15119
56.73787,23.25069
56.76571,23.61633
57.57971,24.27617
54.94587,26.35406
56.69071,25.45847
54.60088,25.33044
58.0718583,24.4002042
55.66763,23.98939
59.15079,25.30161
55.779296,25.113961
55.76575,23.90558
57.72438,22.54811
57.50904,23.86247
56.52345,24.612358
55.129937,25.461003
54.975183,26.049714
55.864304,22.628161
57.60475,23.92833
55.29275,25.76561
57.25621,24.194
57.40217,24.304
56.54021,24.90931
55.829567,24.253192
56.59246,23.87814
55.96562,24.23781
57.4653,26.755333
54.84338,26.19342
59.50817,23.89858
58.06246,24.33992
55.653808,22.208611
56.27729,24.67861
57.64883,25.4265
56.509325,25.611308
55.46154,25.27636
56.46933,25.86175
55.578608,23.989525
56.53621,24.67592
57.082628,23.603373
55.78154,25.57478
56.825587,24.036506
55.851667,23.225056
56.62992,24.11736
56.56292,26.780302
56.811708,25.371769
