RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
67.31765,28.94086,HD 283629,G6,1.0,5390.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.31765,28.94086
68.42497,18.40761,V1323 Tau,G6,0.8,5390.0,12.07,1.06,,,-0.158,,,,,,,0.96,0.11,,,"b,f",Simbad,68.42497,18.40761
68.57513,18.50182,V1077 Tau,G8,0.25,5210.0,12.67,1.03,11.43,1.24,-0.391,,,,,,,0.78,0.09,3.32,3,b,Simbad,68.57513,18.50182
58.64988,25.61892,2MASS J03543597+2537081,K0,1.0,5030.0,12.7,0.92,11.61,1.09,-0.59,,,,,,,0.67,0.08,,3,"b,f",Simbad,58.64988,25.61892
64.84042,28.23444,[SS94] V410 X-ray 8d,K0,1.0,5030.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.84042,28.23444
52.4098,24.51046,V1224 Tau,K1,0.8,4920.0,12.16,0.88,11.13,1.07,-0.421,,,,,,,0.85,0.11,0.482,3,b,Simbad,52.4098,24.51046
68.94723,22.83936,HQ Tau,K2,1.0,4760.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.94723,22.83936
71.4877,24.67843,2MASS J04455704+2440423,K2,1.0,4760.0,,,,,,,,,,,,,,,3,"c,f",Simbad,71.4877,24.67843
58.64817,25.61976,2MASS J03543556+2537111,K3,1.0,4550.0,13.83,1.09,12.54,1.29,-0.924,,,,,,,0.56,0.08,,3,"b,f",Simbad,58.64817,25.61976
69.98227,25.75057,2MASS J04395574+2545020,K4,1.0,4330.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.98227,25.75057
64.67222,28.45695,2MASS J04184133+2827250,K4.50,1.0,4235.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.67222,28.45695
67.27079,26.81869,IRAS 04260+2642,K5.50,1.0,4080.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.27079,26.81869
69.77187,23.62919,2MASS J04390525+2337450,K5e,1.0,4140.0,,,,,,,,,,,,,,,,"c,f",Simbad,69.77187,23.62919
68.12742,24.33258,FY Tau,K7,1.0,3970.0,15.76,1.81,14.27,1.49,-1.722,,,,,,,0.29,0.03,,2,"b,f",Simbad,68.12742,24.33258
67.37908,16.24483,V995 Tau,K7,1.0,3970.0,,,,,,,,,,,,,,,,"c,f",Simbad,67.37908,16.24483
70.03334,26.09038,IRAS 04370+2559,K9.50,4.0,3825.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.03334,26.09038
70.41176,25.94076,Haro 6-33,M0,1.0,3770.0,18.4,2.41,15.58,2.82,-1.723,,,,,,,0.32,0.04,,2,"b,f",Simbad,70.41176,25.94076
68.06421,24.48326,V806 Tau,M0,1.0,3770.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.06421,24.48326
68.13235,24.33417,FZ Tau,M0,1.0,3770.0,15.51,1.43,13.83,1.68,-1.566,,,,,,,0.39,0.05,,2,"b,f",Simbad,68.13235,24.33417
68.30983,26.23986,IRAS S04301+2608,M0,1.0,3770.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.30983,26.23986
63.48907,29.30537,IRAS 04108+2910,M0,1.0,3770.0,,,,,,,,,,,,,,,2,"c,f",Simbad,63.48907,29.30537
64.64353,28.5084,2MASS J04183444+2830302,M0,1.0,3770.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.64353,28.5084
68.73721,22.97664,2MASS J04345693+2258358,M0,1.0,3770.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.73721,22.97664
68.99554,22.64314,2MASS J04355892+2238353,M0,0.25,3770.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.99554,22.64314
